Id,Response
2325,6
2327,7
2336,3
2339,7
2342,8
2347,8
2350,4
2360,6
2364,7
2369,1
2379,3
2394,7
2395,3
2399,8
2402,8
2410,8
2416,7
2420,8
2427,6
2434,8
2435,8
2441,8
2447,5
2452,6
2463,7
2467,5
2468,8
2470,5
2476,7
2483,1
2487,4
2492,8
2502,8
2504,4
2510,8
2511,1
2512,8
2517,8
2520,8
2521,8
2523,7
2524,6
2525,7
2526,4
2528,8
2530,4
2532,2
2536,4
2540,6
2541,6
2543,6
2549,8
2550,1
2556,3
2557,7
2559,7
2565,8
2566,8
2567,1
2568,4
2570,8
2573,8
2577,6
2578,7
2583,2
2586,4
2587,3
2588,7
2591,8
2597,8
2606,7
2607,8
2608,8
2611,1
2612,8
2613,8
2616,8
2621,8
2622,7
2634,8
2639,8
2642,1
2644,5
2650,1
2655,8
2664,7
2667,7
2670,4
2679,1
2681,7
2683,8
2685,8
2687,8
2696,4
2699,7
2712,1
2716,8
2720,8
2725,7
2726,8
2731,5
2733,8
2740,8
2742,7
2748,4
2749,8
2763,7
2771,8
2772,4
2773,7
2783,8
2784,8
2789,1
2796,3
2798,5
2799,8
2800,6
2802,8
2805,5
2809,7
2816,7
2817,6
2821,7
2822,8
2829,7
2832,2
2842,4
2844,6
2846,7
2851,6
2852,5
2853,7
2856,8
2862,2
2866,7
2868,4
2886,8
2892,5
2893,4
2898,8
2917,2
2923,2
2927,6
2930,8
2931,1
2935,7
2936,3
2961,1
2964,8
2967,8
2968,7
2970,6
2977,4
2978,7
2979,8
2985,4
2986,1
2989,7
2997,3
2999,8
3004,7
3008,7
3010,4
3020,8
3022,8
3024,7
3027,8
3032,8
3033,8
3048,3
3053,7
3056,8
3070,8
3071,1
3073,8
3080,8
3098,8
3099,4
3109,7
3110,7
3115,1
3121,8
3128,7
3132,1
3133,1
3141,8
3144,5
3145,4
3154,7
3159,7
3164,4
3168,2
3172,2
3176,6
3186,7
3193,4
3196,8
3199,4
3200,7
3209,8
3210,8
3214,5
3229,6
3230,6
3233,8
3242,3
3244,2
3249,7
3251,2
3253,1
3264,4
3271,2
3272,8
3274,7
3276,2
3280,4
3282,6
3285,7
3297,6
3298,8
3307,4
3309,8
3310,8
3312,6
3314,8
3315,3
3316,6
3319,5
3322,8
3327,7
3332,6
3334,8
3336,1
3338,7
3340,6
3343,2
3352,8
3353,8
3356,8
3357,8
3360,6
3365,8
3366,8
3367,8
3369,8
3374,4
3376,6
3381,8
3385,5
3386,7
3397,7
3403,5
3409,3
3414,8
3415,7
3423,8
3427,7
3428,7
3439,5
3441,7
3442,2
3447,5
3453,7
3456,3
3458,4
3459,7
3462,7
3464,8
3477,8
3480,5
3483,8
3490,7
3497,7
3498,7
3500,6
3504,5
3509,1
3510,8
3511,8
3525,3
3528,7
3529,1
3531,4
3532,8
3536,7
3537,2
3538,7
3547,4
3557,6
3572,8
3573,7
3588,8
3590,7
3597,8
3601,5
3602,7
3608,8
3611,6
3616,6
3619,7
3623,5
3638,5
3641,5
3643,8
3647,3
3648,7
3662,5
3663,8
3665,5
3679,7
3683,6
3692,7
3700,8
3705,6
3706,8
3711,8
3712,4
3716,3
3725,4
3727,8
3739,6
3740,5
3743,4
3744,1
3750,8
3751,5
3752,1
3753,6
3754,1
3761,8
3762,7
3764,2
3773,8
3774,4
3775,8
3776,8
3785,6
3788,8
3791,5
3792,7
3794,3
3797,7
3798,8
3807,3
3808,8
3810,4
3813,7
3815,8
3818,5
3820,2
3824,8
3832,8
3836,8
3837,7
3849,8
3853,4
3861,2
3862,7
3863,4
3867,3
3868,8
3871,8
3873,5
3874,7
3879,7
3881,7
3883,8
3887,7
3888,4
3889,4
3898,2
3901,8
3904,2
3905,4
3907,7
3911,3
3915,7
3917,3
3923,7
3925,3
3931,7
3934,8
3943,7
3946,5
3947,5
3949,5
3958,4
3959,7
3960,3
3969,8
3971,8
3973,8
3976,8
3979,8
3982,8
3992,8
3993,6
3995,7
3997,4
4002,8
4003,8
4006,8
4010,8
4011,7
4012,8
4019,8
4020,1
4026,5
4030,1
4033,4
4034,8
4038,2
4045,7
4046,8
4047,1
4048,8
4055,8
4061,8
4063,2
4066,7
4069,8
4076,7
4081,6
4086,8
4087,8
4094,8
4096,2
4105,5
4107,5
4110,4
4115,8
4128,1
4131,8
4136,1
4140,5
4141,5
4142,8
4146,8
4156,5
4159,8
4171,7
4174,1
4175,4
4180,8
4187,7
4191,2
4193,7
4197,8
4201,6
4203,4
4205,5
4206,3
4209,8
4213,8
4215,6
4220,8
4223,8
4225,6
4234,1
4241,7
4244,7
4247,5
4254,6
4255,1
4262,4
4263,8
4266,1
4269,8
4270,1
4271,3
4274,7
4279,7
4286,1
4287,5
4288,8
4290,1
4294,8
4296,6
4299,5
4302,8
4316,8
4320,4
4321,2
4324,4
4325,2
4326,8
4332,8
4334,8
4343,8
4348,7
4350,7
4353,7
4356,8
4361,7
4367,4
4369,7
4371,8
4373,7
4374,1
4376,8
4393,3
4394,5
4397,1
4398,8
4404,8
4410,4
4411,1
4412,7
4414,5
4415,8
4418,3
4420,7
4426,5
4427,8
4430,2
4431,4
4435,8
4437,4
4438,8
4458,4
4461,4
4462,3
4464,4
4482,8
4484,6
4489,4
4494,8
4496,8
4503,6
4508,3
4515,4
4516,8
4517,8
4518,6
4524,3
4525,1
4527,8
4529,8
4535,5
4538,1
4544,6
4545,3
4550,4
4551,7
4554,8
4563,7
4565,6
4573,5
4576,8
4578,7
4587,8
4590,4
4597,4
4600,7
4608,8
4612,5
4615,7
4616,8
4618,7
4620,4
4622,4
4624,7
4628,5
4631,8
4633,8
4646,5
4648,1
4655,8
4669,8
4673,6
4677,8
4680,8
4683,3
4691,1
4694,8
4697,8
4698,3
4704,6
4711,6
4713,4
4716,3
4724,6
4727,8
4730,5
4731,7
4732,5
4741,1
4742,8
4743,7
4753,7
4758,8
4762,1
4765,3
4782,1
4787,8
4788,8
4789,1
4790,8
4792,8
4797,6
4805,4
4806,8
4809,7
4814,8
4823,8
4825,2
4830,6
4832,3
4833,2
4840,4
4841,7
4844,8
4845,8
4849,5
4858,8
4870,7
4875,8
4877,7
4882,5
4891,6
4900,5
4905,8
4907,5
4908,8
4923,7
4924,7
4925,8
4927,5
4933,7
4935,8
4941,3
4944,8
4946,4
4953,7
4956,1
4968,2
4985,1
4989,8
4995,1
5005,6
5010,1
5016,8
5018,8
5029,2
5031,4
5037,3
5039,7
5041,6
5043,7
5052,7
5055,6
5059,6
5063,8
5067,8
5070,7
5072,5
5073,6
5079,8
5086,5
5093,6
5094,1
5098,8
5101,7
5108,1
5112,8
5113,8
5119,8
5120,5
5121,6
5126,8
5127,8
5128,8
5131,3
5137,2
5146,8
5148,6
5150,5
5159,8
5160,8
5163,4
5170,7
5177,5
5179,8
5185,7
5188,8
5190,7
5191,4
5192,5
5195,2
5198,6
5208,4
5214,7
5215,7
5219,2
5220,8
5223,2
5224,3
5225,7
5227,2
5229,8
5231,3
5236,4
5237,6
5238,6
5240,4
5248,8
5252,8
5256,4
5269,8
5270,2
5272,8
5275,8
5276,7
5279,8
5280,5
5281,8
5291,6
5292,8
5294,1
5296,8
5302,6
5307,7
5312,8
5313,6
5314,8
5315,6
5316,5
5317,7
5318,6
5321,5
5322,8
5323,5
5324,8
5334,6
5343,1
5344,1
5345,7
5355,1
5364,6
5369,8
5371,8
5380,7
5385,1
5392,6
5395,7
5396,8
5398,8
5400,8
5402,8
5411,8
5412,2
5414,7
5417,5
5424,8
5427,7
5428,5
5430,5
5432,6
5438,1
5448,7
5459,1
5460,7
5461,5
5463,2
5477,4
5479,4
5481,8
5482,7
5491,2
5493,8
5506,6
5507,1
5517,7
5532,6
5533,7
5534,8
5541,8
5542,2
5548,1
5551,1
5553,4
5554,8
5565,7
5574,7
5575,8
5576,1
5583,6
5584,2
5586,2
5587,2
5588,8
5596,7
5597,8
5601,8
5603,6
5613,7
5614,8
5618,8
5619,7
5621,8
5622,8
5627,8
5628,4
5630,8
5633,1
5639,4
5643,7
5649,4
5653,8
5655,6
5664,1
5667,3
5670,8
5674,2
5678,7
5680,4
5687,3
5692,7
5694,7
5697,8
5701,1
5704,8
5710,6
5711,7
5716,1
5724,8
5725,2
5726,4
5727,7
5731,7
5749,3
5751,8
5755,6
5756,7
5761,8
5767,3
5768,4
5770,6
5772,3
5773,5
5775,8
5776,8
5784,1
5792,1
5793,7
5794,8
5797,8
5799,8
5800,8
5805,6
5809,8
5813,1
5817,8
5824,5
5829,4
5832,1
5835,2
5837,3
5847,7
5854,6
5857,4
5860,8
5872,4
5874,8
5876,3
5880,8
5882,5
5891,6
5892,2
5906,8
5922,8
5923,7
5927,5
5929,3
5941,2
5942,4
5945,8
5947,7
5950,8
5951,8
5952,5
5960,8
5965,7
5967,8
5974,8
5977,1
5984,3
5987,8
5991,5
5996,1
5997,8
6002,1
6005,4
6008,8
6009,3
6014,6
6027,6
6030,3
6033,8
6034,3
6035,8
6043,8
6046,5
6047,5
6048,7
6070,4
6071,4
6085,1
6090,6
6091,7
6092,4
6098,8
6106,8
6108,8
6111,1
6115,8
6117,2
6121,4
6124,7
6126,7
6129,8
6131,8
6141,7
6142,1
6143,4
6144,3
6147,6
6148,3
6155,6
6158,1
6159,7
6162,3
6166,8
6172,2
6177,2
6178,8
6181,6
6182,8
6185,6
6191,8
6195,8
6204,6
6205,7
6211,7
6212,8
6219,8
6220,8
6223,2
6226,8
6239,7
6243,8
6249,1
6252,8
6255,5
6260,4
6261,6
6263,4
6264,3
6270,1
6271,8
6272,5
6274,8
6277,1
6280,7
6284,5
6286,3
6288,4
6290,8
6293,6
6299,6
6301,7
6304,2
6306,5
6308,8
6309,5
6312,8
6321,6
6322,4
6331,3
6335,8
6340,7
6343,8
6344,2
6347,4
6348,4
6349,8
6350,7
6354,8
6355,4
6362,3
6367,7
6372,7
6375,8
6379,1
6384,2
6386,8
6390,6
6396,4
6401,3
6403,6
6408,4
6410,5
6420,8
6430,8
6436,8
6440,8
6442,8
6443,8
6444,4
6459,8
6466,7
6469,7
6474,8
6475,2
6476,2
6490,2
6491,3
6496,1
6497,7
6498,6
6499,7
6501,6
6514,1
6515,5
6524,8
6526,4
6532,8
6537,4
6538,7
6541,4
6546,6
6551,1
6554,6
6557,4
6560,3
6565,7
6566,6
6578,4
6582,8
6587,6
6593,7
6596,5
6611,7
6615,7
6620,8
6626,7
6627,5
6628,5
6635,7
6639,7
6641,4
6645,4
6660,8
6663,7
6669,7
6674,4
6682,7
6685,3
6687,8
6692,5
6695,7
6696,3
6699,5
6700,6
6701,7
6705,3
6707,4
6709,8
6711,8
6714,2
6722,5
6723,8
6724,8
6726,4
6733,7
6734,8
6735,8
6736,6
6738,5
6741,8
6746,8
6754,7
6758,1
6763,2
6764,2
6768,7
6778,1
6784,8
6785,6
6787,7
6806,3
6825,4
6830,1
6831,7
6832,5
6833,3
6835,2
6842,8
6843,2
6853,5
6859,3
6860,2
6862,7
6867,2
6868,8
6885,7
6888,2
6889,7
6897,1
6898,1
6900,7
6902,4
6903,4
6907,1
6909,1
6911,1
6925,8
6930,5
6931,3
6933,3
6937,6
6941,1
6948,7
6950,8
6956,8
6957,8
6960,8
6962,4
6969,2
6971,3
6973,2
6980,5
6983,2
6985,6
6999,8
7005,8
7006,8
7007,7
7012,2
7013,7
7016,5
7017,8
7020,4
7024,6
7026,1
7027,1
7029,5
7032,3
7034,8
7044,8
7054,3
7057,7
7058,6
7060,7
7065,6
7069,6
7071,7
7076,2
7077,5
7081,1
7082,3
7093,8
7095,3
7098,4
7099,1
7105,2
7106,5
7122,6
7129,8
7130,7
7135,5
7136,1
7137,5
7138,8
7141,6
7143,7
7159,8
7162,8
7165,4
7169,2
7171,3
7172,7
7175,7
7178,4
7182,7
7190,8
7194,3
7196,7
7205,8
7207,6
7210,8
7211,5
7216,8
7219,3
7222,6
7224,8
7234,5
7237,7
7242,5
7246,7
7247,1
7251,6
7252,3
7257,3
7276,5
7281,7
7286,8
7287,8
7295,6
7297,6
7300,7
7307,8
7308,1
7310,3
7315,1
7317,7
7318,7
7322,6
7325,7
7326,8
7332,7
7342,8
7345,8
7347,7
7349,7
7352,6
7353,1
7354,8
7370,7
7392,8
7394,8
7396,7
7397,7
7400,7
7402,2
7406,7
7409,8
7410,8
7412,7
7414,1
7419,7
7420,5
7421,8
7424,7
7428,3
7431,8
7435,8
7437,8
7445,5
7449,5
7456,7
7458,8
7459,4
7463,1
7464,7
7465,8
7467,8
7471,1
7472,4
7485,5
7494,1
7505,7
7511,8
7512,7
7513,3
7514,1
7515,4
7523,1
7530,7
7531,8
7536,8
7538,7
7542,2
7543,7
7549,4
7557,7
7559,8
7560,8
7563,4
7564,8
7567,8
7572,7
7575,1
7588,5
7595,5
7596,5
7602,6
7609,5
7612,7
7613,3
7621,6
7622,7
7624,8
7625,7
7629,8
7632,7
7634,7
7636,7
7637,1
7638,3
7640,3
7643,8
7648,7
7653,2
7654,8
7662,7
7671,8
7674,7
7682,4
7683,7
7686,6
7690,3
7692,7
7694,3
7695,5
7700,6
7714,3
7715,7
7721,8
7728,8
7737,5
7739,4
7745,2
7747,4
7761,8
7762,8
7763,7
7770,3
7771,6
7774,8
7776,2
7779,5
7793,7
7795,8
7796,8
7800,8
7803,8
7808,8
7811,6
7812,6
7813,3
7814,5
7818,1
7826,7
7827,8
7831,8
7834,8
7837,3
7841,8
7842,8
7843,2
7844,7
7851,8
7854,7
7856,8
7859,8
7866,5
7869,8
7870,7
7872,1
7886,6
7892,7
7893,7
7908,8
7910,8
7914,7
7919,5
7922,5
7930,5
7932,3
7947,1
7949,5
7950,8
7952,6
7953,6
7955,8
7960,6
7961,4
7962,7
7963,8
7967,1
7968,8
7975,6
7977,4
7980,7
7985,7
7987,7
7994,3
7995,8
7999,8
8005,8
8007,7
8009,8
8014,7
8017,4
8018,5
8024,5
8025,5
8026,6
8029,2
8031,8
8035,6
8049,7
8058,2
8060,7
8061,4
8070,4
8071,7
8072,4
8073,5
8075,5
8076,4
8081,7
8082,6
8090,7
8094,7
8097,4
8107,6
8112,6
8115,4
8120,4
8123,3
8128,5
8129,8
8133,6
8138,8
8142,4
8143,7
8145,7
8146,7
8147,5
8151,4
8153,8
8163,1
8167,8
8168,4
8169,7
8172,2
8178,2
8184,6
8185,6
8186,3
8187,7
8191,3
8196,5
8205,5
8206,8
8216,1
8218,7
8219,8
8227,7
8228,6
8230,8
8231,4
8234,8
8241,8
8242,7
8245,8
8246,7
8251,7
8254,4
8262,4
8269,8
8277,8
8286,7
8287,4
8288,4
8289,6
8292,6
8293,4
8294,1
8296,7
8306,3
8307,3
8314,7
8317,2
8320,8
8326,3
8329,4
8330,5
8331,3
8343,5
8350,5
8352,1
8354,4
8355,2
8356,5
8357,1
8364,7
8370,2
8381,1
8382,6
8383,7
8386,4
8389,8
8390,4
8393,7
8399,8
8400,3
8403,6
8404,3
8405,8
8409,6
8413,7
8417,7
8418,3
8423,7
8427,7
8431,8
8432,8
8434,8
8437,8
8447,7
8449,8
8457,3
8459,5
8461,2
8466,4
8467,8
8469,7
8479,4
8481,8
8493,7
8496,7
8501,7
8502,6
8508,7
8509,8
8514,8
8518,5
8519,6
8527,8
8530,8
8537,5
8539,7
8542,7
8547,8
8550,7
8554,5
8556,4
8560,8
8566,5
8569,7
8571,8
8572,7
8575,4
8580,5
8584,4
8585,8
8587,3
8593,6
8595,6
8597,4
8598,8
8599,5
8601,8
8607,1
8612,7
8621,7
8625,5
8630,8
8631,7
8633,7
8644,6
8650,1
8652,8
8656,8
8657,8
8659,8
8660,8
8665,6
8667,1
8668,4
8670,5
8682,8
8690,7
8692,7
8698,6
8702,3
8710,4
8713,8
8714,8
8715,7
8718,5
8719,3
8722,8
8737,7
8738,8
8739,8
8740,1
8745,5
8750,8
8754,1
8757,8
8762,1
8769,8
8773,8
8782,7
8790,7
8804,4
8815,6
8818,6
8819,8
8828,5
8831,6
8838,7
8841,2
8847,4
8849,1
8857,2
8860,1
8861,8
8875,7
8884,5
8889,7
8891,8
8893,8
8894,6
8897,8
8909,2
8928,6
8932,4
8933,3
8934,8
8938,8
8943,4
8946,5
8951,1
8953,4
8959,1
8960,2
8963,4
8968,8
8972,7
8973,3
8977,1
8978,4
8980,8
8984,1
8987,7
8989,8
8995,8
8996,8
9001,3
9003,1
9005,6
9007,6
9009,6
9012,6
9015,8
9024,5
9031,8
9032,7
9035,6
9053,8
9060,6
9067,7
9068,8
9077,7
9080,8
9084,8
9087,4
9090,4
9095,7
9098,3
9101,8
9108,6
9112,1
9113,7
9117,6
9123,7
9124,7
9127,7
9130,4
9132,4
9136,5
9138,8
9142,8
9143,5
9145,8
9146,4
9148,8
9151,2
9154,7
9158,6
9163,6
9169,4
9171,8
9176,4
9181,8
9185,8
9187,8
9188,8
9190,8
9204,8
9205,6
9207,4
9213,8
9220,6
9221,6
9224,5
9225,8
9227,8
9232,7
9234,8
9237,7
9238,8
9240,2
9248,7
9253,8
9254,7
9257,4
9264,2
9267,6
9269,8
9271,7
9272,7
9276,7
9278,4
9280,7
9281,8
9286,1
9288,6
9290,7
9291,8
9293,7
9294,8
9295,8
9298,8
9303,1
9304,8
9307,8
9309,8
9314,2
9315,6
9317,7
9318,7
9319,4
9320,5
9326,8
9331,1
9339,5
9342,5
9349,1
9353,1
9359,8
9362,1
9366,8
9376,2
9384,5
9386,7
9390,5
9396,7
9399,5
9402,5
9415,4
9420,7
9421,7
9422,7
9425,3
9428,8
9440,7
9441,4
9443,5
9451,7
9456,1
9457,1
9459,7
9465,4
9475,7
9483,1
9485,8
9488,7
9492,2
9494,1
9495,2
9498,4
9502,7
9506,5
9509,7
9512,8
9516,8
9520,8
9524,4
9531,1
9532,8
9538,7
9547,5
9549,5
9550,2
9552,8
9555,8
9563,8
9565,8
9574,7
9586,1
9587,8
9593,8
9594,6
9597,8
9600,1
9603,8
9607,7
9608,4
9609,3
9610,8
9612,8
9613,7
9618,2
9619,5
9621,5
9625,4
9638,8
9644,6
9650,2
9652,2
9654,8
9660,8
9665,7
9666,7
9668,4
9672,8
9674,7
9677,1
9683,5
9689,8
9690,6
9691,2
9701,8
9709,8
9712,8
9713,6
9714,6
9717,8
9720,7
9726,8
9729,6
9730,7
9741,8
9747,6
9763,8
9765,5
9771,8
9774,8
9777,4
9779,7
9783,2
9784,8
9791,7
9802,5
9810,6
9818,7
9820,7
9822,8
9825,3
9829,8
9832,6
9839,5
9846,8
9847,6
9852,4
9854,5
9855,1
9857,4
9860,3
9863,5
9866,4
9867,8
9869,8
9875,5
9879,1
9880,7
9885,5
9889,8
9890,6
9898,8
9900,2
9901,5
9917,8
9927,2
9928,6
9933,4
9937,6
9939,8
9940,1
9942,1
9945,8
9946,7
9950,8
9953,3
9954,2
9961,4
9975,8
9980,4
9983,8
9988,4
9989,4
9990,1
9991,7
9993,3
10000,5
10007,8
10010,8
10013,5
10019,4
10024,8
10026,4
10034,8
10037,5
10038,3
10045,6
10046,6
10056,7
10060,8
10062,8
10067,4
10070,2
10073,4
10074,8
10082,6
10086,7
10092,8
10096,8
10110,7
10111,6
10113,7
10115,4
10116,8
10117,5
10132,8
10135,4
10136,7
10144,7
10147,6
10154,7
10162,7
10164,6
10166,2
10167,7
10179,8
10184,8
10192,2
10203,4
10206,4
10215,7
10217,7
10222,6
10227,4
10231,8
10232,6
10236,4
10238,5
10248,6
10252,2
10262,8
10273,6
10288,5
10289,6
10290,7
10291,7
10292,5
10296,4
10302,8
10304,4
10311,5
10312,2
10313,3
10316,4
10318,7
10319,2
10320,7
10324,1
10325,8
10329,3
10330,8
10332,3
10333,5
10344,8
10348,8
10349,3
10352,4
10353,6
10354,8
10356,8
10357,7
10360,7
10362,8
10367,4
10369,8
10370,7
10372,2
10376,7
10377,8
10379,8
10384,8
10388,7
10391,8
10395,8
10403,5
10405,5
10407,5
10411,7
10417,8
10418,7
10420,8
10422,2
10426,3
10447,7
10449,4
10450,4
10453,8
10455,2
10457,2
10458,1
10461,2
10463,2
10467,8
10470,6
10475,5
10482,8
10485,2
10495,7
10501,7
10504,6
10510,8
10513,1
10517,4
10525,2
10530,4
10536,8
10537,7
10540,5
10550,8
10551,3
10552,8
10557,8
10560,3
10562,2
10563,4
10566,1
10568,7
10578,6
10580,4
10587,8
10597,2
10599,7
10606,4
10608,8
10610,4
10614,1
10615,8
10617,6
10625,2
10629,8
10633,2
10636,4
10637,7
10640,8
10649,5
10653,6
10654,8
10656,1
10660,7
10662,7
10667,3
10669,8
10671,6
10672,7
10676,5
10677,8
10680,8
10681,1
10690,8
10702,3
10703,2
10706,8
10708,3
10710,7
10713,8
10718,4
10720,5
10724,1
10726,8
10732,8
10735,7
10739,7
10742,6
10746,2
10747,5
10748,8
10752,8
10754,8
10758,7
10766,8
10768,8
10771,7
10772,8
10781,1
10782,1
10786,7
10788,7
10789,3
10796,1
10798,8
10802,3
10804,5
10812,8
10824,2
10826,6
10833,5
10837,1
10840,1
10841,6
10842,8
10846,3
10848,8
10849,7
10850,8
10853,7
10855,8
10856,7
10858,8
10861,8
10867,6
10883,1
10890,7
10892,6
10893,7
10896,3
10897,1
10901,7
10907,7
10909,8
10910,1
10913,8
10921,8
10926,7
10929,8
10933,1
10936,8
10938,6
10940,4
10941,7
10942,5
10947,5
10949,4
10951,4
10952,3
10955,4
10977,7
10978,4
10979,4
10980,2
10993,1
10995,8
11000,6
11002,8
11008,4
11009,3
11017,8
11023,8
11026,4
11027,3
11036,6
11041,7
11050,7
11075,8
11077,4
11088,5
11090,7
11092,8
11097,1
11101,8
11110,7
11112,1
11113,5
11123,7
11124,4
11126,1
11135,5
11136,1
11139,7
11146,7
11159,7
11166,7
11173,1
11174,2
11177,7
11178,4
11180,7
11188,5
11189,6
11190,3
11192,7
11203,5
11206,1
11209,6
11215,8
11224,8
11225,2
11227,4
11231,3
11242,7
11245,5
11246,6
11249,5
11251,8
11253,8
11255,8
11257,4
11258,8
11265,3
11268,1
11270,8
11272,3
11277,4
11278,8
11282,6
11285,3
11288,7
11293,2
11295,4
11296,1
11301,8
11311,7
11317,3
11320,6
11323,8
11325,4
11331,8
11332,3
11342,4
11345,7
11350,6
11356,1
11357,5
11383,4
11386,8
11387,7
11388,8
11390,2
11392,8
11394,3
11406,7
11410,2
11412,8
11417,4
11418,7
11423,3
11424,3
